Round 0,,,,,,,,,,
329.026504,,,,,,,,,,
437,421,423,431,413,-300,445,452,402,-326, 
time spent,18.89813375,,,,,,,,,
,,,,,,,,,,
30,1391.590992,,,,,,,,,
60,405.3994074,,,,,,,,,
90,130.3326651,,,,,,,,,
120,42.55384815,,,,,,,,,
150,21.75438779,,,,,,,,,
180,14.87733261,,,,,,,,,
210,7.574326782,,,,,,,,,
240,6.909403344,,,,,,,,,
270,5.587600413,,,,,,,,,
300,2.384989991,,,,,,,,,
330,1.67721196,,,,,,,,,
360,1.604351301,,,,,,,,,
390,1.264308708,,,,,,,,,
420,1.225504973,,,,,,,,,
450,1.225504973,,,,,,,,,
480,1.225400141,,,,,,,,,
real_GA_uniform_CO:,,,,,,,,,,
1.222360025,,,,,,,,,,
423.3265826,420.2989116,420.9317454,421.407565,419.9940708,421.1534109,420.6865031,421.0506096,421.7928319,419.6528316, 
time spent,7.624926567,,,,,,,,,
,,,,,,,,,,
30,1963.978019,,,,,,,,,
60,1242.999257,,,,,,,,,
90,882.9412739,,,,,,,,,
120,599.5416962,,,,,,,,,
150,371.06,,,,,,,,,
180,391.0635356,,,,,,,,,
210,270.3219975,,,,,,,,,
240,158.5425332,,,,,,,,,
270,100.6073285,,,,,,,,,
300,74.88335608,,,,,,,,,
330,28.50266144,,,,,,,,,
360,16.35245038,,,,,,,,,
390,10.27254104,,,,,,,,,
420,4.236034497,,,,,,,,,
450,2.654973997,,,,,,,,,
480,2.597856148,,,,,,,,,
real_GA_whole_arithmetic_CO:,,,,,,,,,,
1.985328939,,,,,,,,,,
418.3851782,422.7826676,420.2515759,421.039009,420.8465383,422.1836381,421.0337727,422.6762081,421.6266559,420.3289954, 
time spent,7.889881849,,,,,,,,,
,,,,,,,,,,
Round 7,,,,,,,,,,
30,1703.63085,,,,,,,,,
60,1058.040631,,,,,,,,,
90,994.2991888,,,,,,,,,
120,976.4771087,,,,,,,,,
150,796.0770631,,,,,,,,,
180,768.3151667,,,,,,,,,
210,747.1824797,,,,,,,,,
240,908.850953,,,,,,,,,
270,881.6838943,,,,,,,,,
300,856.8567429,,,,,,,,,
330,850.5531674,,,,,,,,,
360,793.8785467,,,,,,,,,
390,771.1091948,,,,,,,,,
420,781.5207082,,,,,,,,,
450,420.253706,,,,,,,,,
480,410.854617,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
373.9382835,,,,,,,,,,
436,433,424,448,-280,433,-315,429,423,428, 
time spent,18.60958719,,,,,,,,,
,,,,,,,,,,
30,1653.305764,,,,,,,,,
60,874.121495,,,,,,,,,
90,817.8505442,,,,,,,,,
120,770.2545788,,,,,,,,,
150,779.2660694,,,,,,,,,
180,644.324621,,,,,,,,,
210,632.8096888,,,,,,,,,
240,702.0500927,,,,,,,,,
270,601.1626038,,,,,,,,,
300,650.5837942,,,,,,,,,
330,628.1232802,,,,,,,,,
360,789.5697744,,,,,,,,,
390,847.3741809,,,,,,,,,
420,1092.980176,,,,,,,,,
450,881.1945801,,,,,,,,,
480,948.3883644,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
321.0058478,,,,,,,,,,
216,405,411,427,65,392,440,-270,429,411, 
time spent,17.12403059,,,,,,,,,
,,,,,,,,,,
30,1274.241905,,,,,,,,,
60,469.7994318,,,,,,,,,
90,188.5006877,,,,,,,,,
120,89.90874055,,,,,,,,,
150,41.90282431,,,,,,,,,
180,21.49743237,,,,,,,,,
210,17.53193049,,,,,,,,,
240,5.256437474,,,,,,,,,
270,4.658154022,,,,,,,,,
300,4.621079846,,,,,,,,,
330,4.657727236,,,,,,,,,
360,4.350980523,,,,,,,,,
390,2.919366368,,,,,,,,,
420,2.759376753,,,,,,,,,
450,1.543024579,,,,,,,,,
480,1.098493612,,,,,,,,,
real_GA_uniform_CO:,,,,,,,,,,
1.093832441,,,,,,,,,,
420.7509159,421.508202,419.1887721,421.4162342,420.4890474,421.3672708,421.3764125,418.8709428,421.0716147,420.9886143, 
time spent,8.607540607,,,,,,,,,
,,,,,,,,,,
30,2255.878645,,,,,,,,,
60,1395.61396,,,,,,,,,
90,870.0700107,,,,,,,,,
120,405.8886212,,,,,,,,,
150,277.8880728,,,,,,,,,
180,178.9371423,,,,,,,,,
210,52.41904055,,,,,,,,,
240,15.30477725,,,,,,,,,
270,8.283372739,,,,,,,,,
300,6.002346734,,,,,,,,,
330,2.570581904,,,,,,,,,
360,2.408661425,,,,,,,,,
390,2.117292742,,,,,,,,,
420,1.600953642,,,,,,,,,
450,1.303458611,,,,,,,,,
480,1.005102846,,,,,,,,,
real_GA_whole_arithmetic_CO:,,,,,,,,,,
0.831841151,,,,,,,,,,
419.8756522,420.9153792,421.5127166,420.0053716,421.1453736,420.7514571,422.816079,420.9526371,421.2784609,420.2066293, 
time spent,7.894026756,,,,,,,,,
,,,,,,,,,,
Round 8,,,,,,,,,,
30,1675.521808,,,,,,,,,
60,1215.79578,,,,,,,,,
90,1041.61222,,,,,,,,,
120,886.701419,,,,,,,,,
150,916.9877547,,,,,,,,,
180,936.2158233,,,,,,,,,
210,1097.636747,,,,,,,,,
240,1011.842044,,,,,,,,,
270,844.4990951,,,,,,,,,
300,569.5545355,,,,,,,,,
330,795.0405362,,,,,,,,,
360,1051.545195,,,,,,,,,
390,923.6959924,,,,,,,,,
420,1013.768519,,,,,,,,,
450,628.2811784,,,,,,,,,
480,683.5183164,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
455.8919683,,,,,,,,,,
-314,429,419,434,394,-297,436,452,428,435, 
time spent,19.58245468,,,,,,,,,
,,,,,,,,,,
30,1518.261567,,,,,,,,,
60,793.2292007,,,,,,,,,
90,782.869872,,,,,,,,,
120,732.2012579,,,,,,,,,
150,676.3859488,,,,,,,,,
180,745.9145844,,,,,,,,,
210,629.7452569,,,,,,,,,
240,659.8206975,,,,,,,,,
270,619.5175489,,,,,,,,,
300,679.6186907,,,,,,,,,
330,776.7355882,,,,,,,,,
360,955.6043671,,,,,,,,,
390,1073.745494,,,,,,,,,
420,811.0493566,,,,,,,,,
450,883.420972,,,,,,,,,
480,870.4508486,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
424.5891529,,,,,,,,,,
379,396,385,-308,426,-349,442,424,435,415, 
time spent,18.13521528,,,,,,,,,
,,,,,,,,,,
30,1601.720156,,,,,,,,,
60,428.8519528,,,,,,,,,
90,130.4195266,,,,,,,,,
120,53.36184611,,,,,,,,,
150,20.82389042,,,,,,,,,
180,16.83261346,,,,,,,,,
210,13.86751652,,,,,,,,,
240,12.53021433,,,,,,,,,
270,11.39481201,,,,,,,,,
300,10.80758053,,,,,,,,,
330,8.759487573,,,,,,,,,
360,8.275462908,,,,,,,,,
390,7.465780505,,,,,,,,,
420,5.820632159,,,,,,,,,
450,4.379570446,,,,,,,,,
480,3.229732732,,,,,,,,,
real_GA_uniform_CO:,,,,,,,,,,
2.27706847,,,,,,,,,,
421.0573128,423.0175177,421.5079307,421.7153782,422.6016687,420.470139,421.771873,422.6353114,419.4915512,418.8541642, 
time spent,7.710247993,,,,,,,,,
,,,,,,,,,,
30,1666.92303,,,,,,,,,
60,778.4648287,,,,,,,,,
90,346.4194933,,,,,,,,,
120,203.7002388,,,,,,,,,
150,98.51875429,,,,,,,,,
180,23.35553402,,,,,,,,,
210,6.334419393,,,,,,,,,
240,4.511588374,,,,,,,,,
270,2.74063693,,,,,,,,,
300,1.988226254,,,,,,,,,
330,1.527587695,,,,,,,,,
360,1.231506182,,,,,,,,,
390,1.192174558,,,,,,,,,
420,1.192174558,,,,,,,,,
450,1.192174558,,,,,,,,,
480,1.190492064,,,,,,,,,
real_GA_whole_arithmetic_CO:,,,,,,,,,,
0.39877275,,,,,,,,,,
420.4696043,421.2135436,421.0366994,420.9187456,420.8645415,421.5269423,420.4763853,420.1460646,419.7099821,420.8372789, 
