================,,,
Normal with aver over 30,,,
================,,,
GA1:,,,
fitness, slope,,
318.2817965,-0.035499661,,
318.2462968,-1.945449715,,
316.3008471,2.426436903,,
318.727284,0.104049226,,
318.8313332,-0.01007457,,
318.8212587,-0.012499255,,
318.8087594,-0.114573766,,
318.6941857,-0.041046491,,
318.6531392,-0.002897852,,
318.6502413,-0.271327489,,
318.3789138,-2.186698328,,
316.1922155,-1.38E-05,,
316.1922017,-1.504081759,,
314.68812,0.939066708,,
315.6271867,-0.610483495,,
315.0167032,-0.264344329,,
314.7523589,-0.733681566,,
314.0186773,0.256751964,,
314.2754293,-0.004497779,,
314.2709315,-0.526034894,,
313.7448966,-1.515645579,,
312.229251,-0.002713402,,
312.2265376,-0.712099833,,
311.5144378,-0.000756812,,
311.513681,-0.006414264,,
311.5072667,-6.00E-05,,
311.5072067,-0.125433206,,
311.3817735,-2.656841544,,
308.7249319,-0.001015592,,
308.7239163,0.56485044,,
309.2887668,2.368017695,,
311.6567845,-0.095563907,,
311.5612206,-0.715943273,,
310.8452773,-0.063006584,,
310.7822707,0.010874021,,
310.7931447,0.048502527,,
310.8416472,-0.519028577,,
310.3226187,-0.630160713,,
309.692458,-0.277045046,,
309.4154129,-2.171403452,,
307.2440095,0.093590274,,
307.3375997,0.264148064,,
307.6017478,0.004010249,,
307.605758,-0.119221207,,
307.4865368,-0.193073091,,
307.2934638,-3.713230126,,
303.5802336,-0.424255743,,
303.1559779,0.597736411,,
303.7537143,-0.002226007,,
303.7514883,-0.347546121,,
303.4039422,-2.25E-05,,
303.4039196,-0.276026803,,
303.1278928,-0.730783789,,
302.397109,-0.734769086,,
301.6623399,-0.47275796,,
301.189582,-0.042675996,,
301.146906,-1.381719637,,
299.7651864,-2.467860565,,
297.2973258,0.281331489,,
297.5786573,-2.304041961,,
295.2746153,2.194891755,,
297.4695071,-0.043024299,,
297.4264828,0.000767949,,
297.4272507,0.026743646,,
297.4539944,-0.159744704,,
297.2942497,-0.30368802,,
296.9905616,-1.599603183,,
295.3909585,-0.489682503,,
294.901276,-3.979181286,,
290.9220947,-0.55463156,,
290.3674631,-0.08441725,,
290.2830459,-0.348015607,,
289.9350303,-0.10051878,,
289.8345115,-0.666699778,,
289.1678117,8.50E-05,,
289.1678967,0.344270244,,
289.5121669,-5.006773661,,
284.5053932,-0.327925494,,
284.1774677,-0.390193358,,
283.7872744,-0.000166603,,
283.7871078,0.189728304,,
283.9768361,-0.312561675,,
283.6642744,-0.208260978,,
283.4560134,-0.297904209,,
283.1581092,-0.195756697,,
282.9623525,0.030222059,,
282.9925746,-5.86E-06,,
282.9925687,-0.351506223,,
282.6410625,-0.00066899,,
282.6403935,-0.146710431,,
282.4936831,-0.006527973,,
282.4871551,-0.001213527,,
282.4859416,-0.02762669,,
282.4583149,-0.638890855,,
281.819424,-0.037477784,,
281.7819463,-0.794316182,,
280.9876301,0.001545646,,
280.9891757,-0.007401308,,
